,Track_id,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentness,Liveness,Loudness,Valence,Speechness,Tempo,Time_Signature
0,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,93,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.334,0.0598,171.005,4
1,7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,89,0.581,0.825,0.652,0.0,0.0931,-3.183,0.931,0.0802,95.977,4
2,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,92,0.751,0.501,0.405,0.0,0.105,-5.679,0.446,0.0319,109.891,4
3,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,88,0.533,0.755,0.522,0.0,0.0685,-4.368,0.925,0.0575,89.96,4
4,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,The Weeknd,2016-11-25,230453,94,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.486,0.276,186.003,4
5,4LRPiXqCikLlN15c3yImP7,As It Was,As It Was,Harry Styles,2022-03-31,167303,32,0.342,0.52,0.731,0.00101,0.311,-5.338,0.662,0.0557,173.93,4
6,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,78,0.692,0.824,0.588,0.000104,0.149,-6.4,0.513,0.0924,98.027,4
7,1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,Drake,2016-05-06,173986,91,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.37,0.0536,103.967,4
8,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,85,0.0383,0.591,0.764,0.0,0.103,-5.484,0.478,0.0483,169.928,4
9,0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,86,0.124,0.585,0.52,7.01e-05,0.131,-6.136,0.129,0.0712,159.801,4
10,0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,Imagine Dragons,2017-06-23,204346,90,0.0622,0.776,0.78,0.0,0.081,-4.374,0.666,0.128,124.949,4
11,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,19,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.531,0.0944,80.87,4
12,0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,90,0.163,0.599,0.448,0.0,0.106,-6.312,0.168,0.0232,95.05,3
13,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers,2016-07-29,244960,87,0.414,0.748,0.524,0.0,0.111,-5.599,0.661,0.0338,95.01,4
14,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,92,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.398,0.0336,124.053,4
15,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,89,0.695,0.358,0.557,0.0,0.0902,-7.398,0.494,0.059,85.043,4
16,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,91,0.934,0.351,0.296,0.0,0.095,-10.109,0.12,0.0333,115.284,4
17,6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,82,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.749,0.029,116.967,4
18,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,89,0.122,0.548,0.816,0.0,0.335,-4.209,0.557,0.0465,95.39,4
19,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,183290,85,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.679,0.083,123.95,4
20,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,87,0.349,0.511,0.566,0.0,0.34,-7.23,0.218,0.2,83.903,4
21,2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,85,0.328,0.701,0.425,0.13,0.1,-10.965,0.562,0.375,135.128,4
22,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,Drake,2018-06-29,198973,87,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.357,0.109,77.169,4
23,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,89,0.0498,0.617,0.635,1.44e-05,0.164,-6.769,0.446,0.0317,103.019,4
24,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,87,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.201,0.0476,107.989,4
25,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,85,0.474,0.781,0.445,0.0,0.184,-6.061,0.591,0.0295,78.998,4
26,4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster),Queen,1975-11-21,354320,83,0.271,0.414,0.404,0.0,0.3,-9.928,0.224,0.0499,71.105,4
27,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,Hozier,2014-07-20,241688,87,0.634,0.566,0.664,0.0,0.116,-5.303,0.437,0.0464,128.945,4
